Cust_Id,Location,Age,Car Ownership,Income,Home Type,Job Experience,Loan Purpose,Loan Grade,Loan Balance,Interest Rate,loan_status,Default History,Credit History
1,Hyderabad,22,0,4425000,RENT,123,PERSONAL,D,2625000,16.02,1,Y,3
2,Pune,21,1,720000,OWN,5,EDUCATION,B,75000,11.14,0,N,2
3,Mumbai,25,1,720000,MORTGAGE,1,MEDICAL,C,412500,12.87,1,N,3
4,Hyderabad,23,1,4912500,RENT,4,MEDICAL,C,2625000,15.23,1,N,2
5,Delhi,24,1,4080000,RENT,8,MEDICAL,C,2625000,14.27,1,Y,4
6,Pune,21,1,742500,OWN,2,VENTURE,A,187500,7.14,1,N,2
7,Mumbai,26,0,5782500,RENT,8,EDUCATION,B,2625000,12.42,1,N,3
8,Bangalore,24,0,5921700,RENT,5,MEDICAL,B,2625000,11.11,1,N,4
9,Delhi,24,1,6225000,RENT,8,PERSONAL,A,2625000,8.9,1,N,2
10,Delhi,21,1,750000,OWN,6,VENTURE,D,120000,14.74,1,N,3
11,Bangalore,22,0,6375000,RENT,6,VENTURE,B,2625000,10.37,1,N,4
12,Pune,21,1,750000,OWN,2,HOMEIMPROVEMENT,A,337500,8.63,1,N,2
13,Pune,23,0,7125000,RENT,2,VENTURE,A,2625000,7.9,1,N,2
14,Hyderabad,26,0,8112000,RENT,4,EDUCATION,E,2625000,18.39,1,N,4
15,Hyderabad,23,1,8625000,RENT,2,EDUCATION,A,2625000,7.9,0,N,4
16,Chennai,23,1,37500000,MORTGAGE,7,DEBTCONSOLIDATION,B,2250000,10.65,0,N,3
17,Chennai,23,1,9000000,RENT,0,EDUCATION,A,2625000,7.9,0,N,4
18,Kolkata,23,1,6908325,RENT,7,MEDICAL,F,2625000,20.25,1,N,4
19,Chennai,23,0,8475000,RENT,8,DEBTCONSOLIDATION,D,2625000,18.25,1,N,4
20,Delhi,24,0,810000,MORTGAGE,8,EDUCATION,B,131250,10.99,1,N,2
21,Chennai,25,0,12187500,RENT,2,VENTURE,A,2625000,7.49,0,N,4
22,Hyderabad,25,1,10275000,RENT,9,PERSONAL,E,2610000,16.77,0,Y,2
23,Chennai,22,0,4875000,RENT,4,EDUCATION,D,2550000,17.58,1,N,4
24,Delhi,24,1,823500,OWN,0,PERSONAL,A,112500,7.29,0,N,3
25,Bangalore,22,0,6000000,RENT,3,PERSONAL,D,2546250,14.54,1,Y,4
26,Mumbai,24,1,5080950,RENT,8,HOMEIMPROVEMENT,C,2475000,12.68,1,N,3
27,Kolkata,21,1,825000,MORTGAGE,3,VENTURE,E,343125,17.74,1,Y,3
28,Hyderabad,23,0,825000,OWN,0,PERSONAL,A,105000,9.32,0,N,3
29,Delhi,24,1,4875000,RENT,6,HOMEIMPROVEMENT,B,2437500,9.99,1,N,3
30,Chennai,21,1,854175,OTHER,5,EDUCATION,C,300000,12.84,1,Y,2
31,Bangalore,21,0,864000,OWN,5,MEDICAL,B,150000,11.12,1,N,3
32,Chennai,25,0,9000000,RENT,2,VENTURE,A,2400000,6.62,0,N,2
33,Bangalore,26,0,7125000,RENT,7,HOMEIMPROVEMENT,C,2328750,14.17,1,Y,3
34,Mumbai,25,0,22950000,RENT,2,DEBTCONSOLIDATION,C,1818750,13.85,0,N,3
35,Hyderabad,26,0,22500000,MORTGAGE,10,MEDICAL,C,585000,13.49,0,N,4
36,Hyderabad,21,1,900000,OWN,5,EDUCATION,A,187500,7.51,1,N,4
37,Pune,22,0,3600000,RENT,1,EDUCATION,E,2250000,18.39,1,N,2
38,Mumbai,24,0,4800000,RENT,8,DEBTCONSOLIDATION,D,2250000,14.54,1,Y,3
39,Mumbai,25,0,5625000,RENT,4,HOMEIMPROVEMENT,D,2250000,16.89,1,Y,4
40,Chennai,23,0,5362500,RENT,3,DEBTCONSOLIDATION,D,2250000,,1,N,4
41,Bangalore,26,1,4653750,RENT,6,MEDICAL,E,2250000,17.99,1,N,2
42,Chennai,24,0,900000,OWN,4,VENTURE,B,187500,12.69,1,N,3
43,Kolkata,26,0,22500000,MORTGAGE,10,VENTURE,A,1500000,7.88,0,N,4
44,Bangalore,23,1,22500000,OWN,1,EDUCATION,F,1818750,19.41,0,Y,2
45,Mumbai,26,0,22500000,OWN,9,HOMEIMPROVEMENT,B,750000,10.38,0,N,4
46,Bangalore,26,0,22500000,MORTGAGE,0,EDUCATION,D,1875000,15.33,0,N,3
47,Kolkata,25,0,22500000,MORTGAGE,9,HOMEIMPROVEMENT,E,1350000,16.45,0,N,3
48,Delhi,26,0,6051750,RENT,8,PERSONAL,A,2250000,7.49,1,N,3
49,Chennai,22,1,4972500,RENT,4,MEDICAL,B,2250000,12.69,1,N,3
50,Hyderabad,26,0,6677100,RENT,0,DEBTCONSOLIDATION,A,2250000,6.62,1,N,3
51,Chennai,24,0,5850000,RENT,4,DEBTCONSOLIDATION,D,2250000,,1,Y,4
52,Bangalore,23,0,5850000,RENT,7,DEBTCONSOLIDATION,F,2250000,18.62,1,Y,3
53,Bangalore,23,1,6900300,RENT,6,PERSONAL,C,2250000,15.23,1,Y,3
54,Delhi,23,0,7275000,RENT,7,VENTURE,B,2250000,10.65,1,N,2
55,Kolkata,25,1,9000000,RENT,9,EDUCATION,A,2250000,7.9,0,N,4
56,Pune,26,1,21000000,RENT,4,PERSONAL,C,750000,15.96,0,Y,3
57,Bangalore,26,1,20782800,RENT,0,VENTURE,B,1500000,11.48,0,N,3
58,Bangalore,23,1,20775000,OWN,3,PERSONAL,A,2625000,,0,N,4
59,Hyderabad,25,1,9600000,RENT,9,PERSONAL,A,2250000,7.29,0,N,4
60,Bangalore,24,0,900000,OWN,2,VENTURE,E,131250,,0,Y,3
61,Pune,21,0,9825000,RENT,0,VENTURE,A,2250000,5.99,0,N,4
62,Kolkata,22,1,20625000,OWN,6,VENTURE,B,900000,11.58,0,N,2
63,Kolkata,26,1,19725000,MORTGAGE,0,EDUCATION,B,750000,,1,N,4
64,Hyderabad,25,0,16638750,MORTGAGE,9,MEDICAL,D,1875000,15.7,1,N,2
65,Kolkata,22,0,5250000,RENT,6,EDUCATION,D,2182500,15.99,1,N,3
66,Kolkata,22,1,900000,MORTGAGE,7,EDUCATION,D,112500,14.84,0,Y,3
67,Mumbai,26,1,19500000,OWN,10,HOMEIMPROVEMENT,B,2100000,10.99,0,N,3
68,Bangalore,25,0,19425000,MORTGAGE,9,HOMEIMPROVEMENT,D,1500000,14.42,0,Y,2
69,Hyderabad,24,0,19125000,MORTGAGE,9,EDUCATION,A,720000,6.99,0,N,2
70,Chennai,25,0,18750000,RENT,2,MEDICAL,C,1875000,13.49,0,N,4
71,Kolkata,25,1,900000,OWN,0,MEDICAL,C,225000,,1,N,3
72,Delhi,22,0,4271250,RENT,6,MEDICAL,A,2100000,,1,N,2
73,Bangalore,21,1,900000,OWN,6,EDUCATION,C,225000,13.61,1,Y,3
74,Mumbai,23,1,4875000,RENT,2,EDUCATION,A,2100000,7.9,1,N,2
75,Hyderabad,26,0,6375000,RENT,2,VENTURE,A,2100000,7.49,1,N,3
76,Kolkata,26,0,900000,OWN,2,EDUCATION,A,457500,7.51,1,N,3
77,Pune,22,0,6600000,RENT,6,VENTURE,B,2100000,9.91,1,N,3
78,Chennai,21,1,900000,OWN,0,PERSONAL,C,315000,13.48,1,Y,4
79,Delhi,22,1,900000,OWN,6,DEBTCONSOLIDATION,A,356250,7.14,1,N,2
80,Kolkata,24,1,6225300,RENT,0,VENTURE,D,2100000,15.99,1,Y,4
81,Delhi,24,1,18750000,RENT,2,EDUCATION,C,1350000,12.98,0,Y,3
82,Delhi,144,1,18750000,RENT,4,VENTURE,C,360000,13.57,0,N,3
83,Chennai,25,0,7500000,RENT,5,DEBTCONSOLIDATION,B,2100000,12.69,0,N,3
84,Chennai,26,1,8250000,RENT,10,EDUCATION,A,2100000,8.9,0,N,2
85,Hyderabad,26,1,900000,OWN,0,DEBTCONSOLIDATION,A,202500,,1,N,4
86,Hyderabad,22,1,8100000,RENT,6,EDUCATION,B,2100000,,1,N,4
87,Mumbai,23,0,11340000,RENT,7,DEBTCONSOLIDATION,B,2100000,11.11,0,N,2
88,Mumbai,24,0,5175000,RENT,2,HOMEIMPROVEMENT,A,2070000,,1,N,2
89,Mumbai,21,0,900000,MORTGAGE,5,DEBTCONSOLIDATION,E,243750,15.68,1,Y,3
90,Mumbai,22,0,5250000,RENT,4,EDUCATION,C,2062500,13.06,1,Y,3
91,Bangalore,22,0,18000000,OWN,6,PERSONAL,B,1875000,,0,N,2
92,Kolkata,26,0,5490000,RENT,5,VENTURE,D,2028750,15.62,1,Y,2
93,Hyderabad,24,1,6225000,RENT,5,PERSONAL,C,2025000,13.49,1,Y,2
94,Mumbai,24,0,5504925,RENT,0,VENTURE,D,2025000,,1,N,3
95,Kolkata,23,0,4687500,RENT,7,MEDICAL,B,1950000,11.71,1,N,2
96,Bangalore,23,0,9000000,RENT,1,EDUCATION,B,1920000,12.69,0,N,3
97,Hyderabad,24,0,927000,OWN,2,MEDICAL,C,120000,13.57,0,N,3
98,Kolkata,22,0,4500000,RENT,0,VENTURE,B,1910625,10.99,1,N,3
99,Delhi,25,0,17550000,MORTGAGE,3,MEDICAL,C,1500000,14.27,0,Y,4
100,Pune,24,1,17550000,OWN,8,HOMEIMPROVEMENT,B,1500000,8.88,0,N,4
101,Bangalore,26,0,17550000,MORTGAGE,10,HOMEIMPROVEMENT,B,1620000,12.18,0,N,3
102,Mumbai,25,1,16575300,MORTGAGE,6,DEBTCONSOLIDATION,D,892500,14.42,1,Y,3
103,Mumbai,26,1,17437500,MORTGAGE,0,MEDICAL,C,1875000,14.17,0,Y,2
104,Bangalore,25,1,17250000,MORTGAGE,5,MEDICAL,C,2625000,13.99,0,N,4
105,Delhi,23,0,6225000,RENT,7,EDUCATION,B,1897500,10.99,1,N,3
106,Hyderabad,22,1,945000,MORTGAGE,,PERSONAL,A,150000,5.42,1,N,4
107,Pune,25,0,945000,OWN,3,PERSONAL,C,131250,13.61,0,N,3
108,Chennai,21,0,3187500,RENT,3,EDUCATION,C,1875000,12.73,1,Y,3
109,Pune,24,1,3075000,RENT,2,HOMEIMPROVEMENT,D,1875000,,1,N,3
110,Chennai,25,0,961200,OWN,0,DEBTCONSOLIDATION,C,225000,12.87,1,Y,4
111,Hyderabad,24,1,972000,MORTGAGE,1,HOMEIMPROVEMENT,B,273750,9.91,1,N,3
112,Mumbai,26,1,16950000,MORTGAGE,4,HOMEIMPROVEMENT,B,1500000,11.49,0,N,4
113,Mumbai,25,0,16875000,MORTGAGE,0,HOMEIMPROVEMENT,E,2250000,19.91,0,Y,2
114,Pune,26,1,15975000,MORTGAGE,6,EDUCATION,B,2625000,10.65,1,N,2
115,Mumbai,24,0,16875000,RENT,0,MEDICAL,B,450000,,0,N,4
116,Bangalore,24,0,972000,MORTGAGE,0,DEBTCONSOLIDATION,B,337500,11.83,1,N,4
117,Hyderabad,23,1,974700,OWN,0,DEBTCONSOLIDATION,C,180000,13.49,1,Y,2
118,Delhi,22,0,3150000,RENT,6,MEDICAL,D,1875000,14.59,1,Y,2
119,Delhi,26,0,3600000,RENT,2,EDUCATION,B,1875000,9.64,1,N,4
120,Pune,25,1,974700,OWN,1,MEDICAL,D,270000,14.59,1,N,3
121,Delhi,22,0,974700,OWN,1,EDUCATION,B,356250,,1,N,3
122,Bangalore,25,1,3177000,RENT,1,EDUCATION,E,1875000,16.35,1,Y,3
123,Hyderabad,21,1,3675000,RENT,4,EDUCATION,B,1875000,10.99,1,N,2
124,Hyderabad,25,0,16875000,MORTGAGE,0,VENTURE,F,1875000,18.67,0,N,2
125,Delhi,26,1,16875000,RENT,1,EDUCATION,A,225000,9.32,0,N,4
126,Hyderabad,23,0,16875000,RENT,8,DEBTCONSOLIDATION,A,562500,8.63,0,N,2
127,Mumbai,26,1,16875000,MORTGAGE,2,VENTURE,B,1875000,10.08,0,N,2
128,Mumbai,22,1,3709800,RENT,5,PERSONAL,B,1875000,11.83,1,N,3
129,Hyderabad,23,0,3750000,RENT,1,DEBTCONSOLIDATION,A,1875000,7.9,1,N,3
130,Kolkata,25,1,3750000,RENT,4,HOMEIMPROVEMENT,A,1875000,5.99,1,N,2
131,Bangalore,24,1,3300000,RENT,2,DEBTCONSOLIDATION,D,1875000,15.33,1,N,2
132,Bangalore,23,0,3750000,RENT,1,VENTURE,B,1875000,11.83,1,N,4
133,Hyderabad,22,1,3750300,RENT,0,VENTURE,B,1875000,10.36,1,N,2
134,Delhi,22,0,3750300,RENT,3,VENTURE,C,1875000,12.23,1,N,3
135,Mumbai,22,1,3900000,RENT,2,EDUCATION,B,1875000,11.11,1,N,4
136,Mumbai,23,1,990000,OWN,3,DEBTCONSOLIDATION,A,371250,7.9,1,N,4
137,Delhi,24,0,16500000,MORTGAGE,1,EDUCATION,B,1875000,11.58,0,N,2
138,Hyderabad,23,0,16200000,MORTGAGE,5,DEBTCONSOLIDATION,A,1575000,8.9,0,N,3
139,Hyderabad,25,1,16200000,MORTGAGE,2,EDUCATION,D,1875000,16.07,0,N,3
140,Mumbai,26,1,16200000,MORTGAGE,10,EDUCATION,C,1500000,14.22,0,Y,2
141,Hyderabad,23,0,16125000,MORTGAGE,7,MEDICAL,C,2625000,14.79,0,Y,3
142,Hyderabad,26,0,16125000,MORTGAGE,11,EDUCATION,A,900000,7.88,0,N,2
143,Chennai,23,1,3900000,RENT,1,PERSONAL,C,1875000,13.22,1,N,2
144,Pune,26,1,3450000,RENT,2,DEBTCONSOLIDATION,D,1875000,11.86,1,N,4
145,Mumbai,22,0,3975000,RENT,5,EDUCATION,C,1875000,13.43,1,Y,4
146,Chennai,26,1,3525000,RENT,0,HOMEIMPROVEMENT,D,1875000,15.28,1,Y,2
147,Pune,23,0,3525000,RENT,1,VENTURE,E,1875000,17.93,1,N,2
148,Kolkata,23,1,990000,MORTGAGE,2,EDUCATION,B,105000,9.25,0,N,4
149,Hyderabad,21,1,990000,OWN,0,VENTURE,C,337500,12.98,1,N,4
150,Kolkata,22,0,15750000,MORTGAGE,6,VENTURE,B,1200000,10.62,0,N,4
151,Bangalore,26,1,15750000,OWN,10,PERSONAL,B,1650000,11.83,0,N,4
152,Delhi,26,0,3600000,RENT,5,VENTURE,F,1875000,18.43,1,N,2
153,Pune,22,1,4124700,RENT,6,EDUCATION,B,1875000,,1,N,4
154,Bangalore,24,1,4125000,RENT,4,HOMEIMPROVEMENT,D,1875000,,1,Y,4
155,Hyderabad,23,0,4125000,RENT,4,EDUCATION,B,1875000,11.36,1,N,3
156,Chennai,23,0,4125000,RENT,4,EDUCATION,D,1875000,15.65,1,Y,3
157,Hyderabad,24,1,4137300,RENT,8,PERSONAL,C,1875000,13.22,1,Y,4
158,Kolkata,26,0,4200000,RENT,4,DEBTCONSOLIDATION,C,1875000,12.87,1,N,2
159,Mumbai,24,0,15262500,OWN,8,MEDICAL,C,1500000,13.04,0,N,3
